Regulation_Status,State
Statewide Plastic Bag Laws,Maine
De Facto Statewide Plastic Bag Ban,Hawaii
Local Plastic Bag Ordinances,Massachusetts
Preemptions on Local Plastic Bag Ordinances,Idaho
Preemption and Local Plastic Bag Ordinances,Minnesota
No Statutes,Nevada
Statewide Plastic Bag Laws,Vermont
Local Plastic Bag Ordinances,Rhode Island
Preemptions on Local Plastic Bag Ordinances,Montana
No Statutes,Kentucky
Statewide Plastic Bag Laws,New York
Local Plastic Bag Ordinances,Maryland
Preemptions on Local Plastic Bag Ordinances,North Dakota
No Statutes,New Hampshire
Statewide Plastic Bag Laws,New Jersey
Local Plastic Bag Ordinances,South Carolina
Preemptions on Local Plastic Bag Ordinances,South Dakota
No Statutes,North Carolina
Statewide Plastic Bag Laws,Connecticut
Local Plastic Bag Ordinances,Illinois
Preemptions on Local Plastic Bag Ordinances,Arizona
No Statutes,Alabama
Statewide Plastic Bag Laws,Delaware
Local Plastic Bag Ordinances,New Mexico
Preemptions on Local Plastic Bag Ordinances,Oklahoma
No Statutes,Kansas
Statewide Plastic Bag Laws,Oregon
Local Plastic Bag Ordinances,Utah
Preemptions on Local Plastic Bag Ordinances,Texas
No Statutes,Louisiana
Statewide Plastic Bag Laws,Colorado
Local Plastic Bag Ordinances,Wyoming
Preemptions on Local Plastic Bag Ordinances,Iowa
No Statutes,Nebraska
Statewide Plastic Bag Laws,California
Local Plastic Bag Ordinances,Alaska
Preemptions on Local Plastic Bag Ordinances,Missouri
Statewide Plastic Bag Laws,Washington
Local Plastic Bag Ordinances,Georgia
Preemptions on Local Plastic Bag Ordinances,Arkansas
Local Plastic Bag Ordinances,Pennsylvania
Preemptions on Local Plastic Bag Ordinances,Mississippi
Local Plastic Bag Ordinances,Virginia
Preemptions on Local Plastic Bag Ordinances,Tennessee
Preemptions on Local Plastic Bag Ordinances,Indiana
Preemptions on Local Plastic Bag Ordinances,Michigan
Preemptions on Local Plastic Bag Ordinances,Ohio
Preemptions on Local Plastic Bag Ordinances,Florida
Preemptions on Local Plastic Bag Ordinances,Wisconsin
Preemptions on Local Plastic Bag Ordinances,West Virginia
